,title,company,location,salary,date,hyperlink,glassdoor_link,stars,sector,num_employees
74,Lead Software Engineer - Data and Delivery,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=bf47731df9027c14&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
75,"Lead Software Engineer, Automation",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=cb1862b36c55a4b4&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
76,"Lead Software Engineer, Java",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=59a23c3a48118640&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
77,"Lead Software Engineer, Full Stack/React - CCB Digital CAMP",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=943b004f4bd3c1fe&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
78,Principal Data Engineer (Platform AI/ML),GSK,"Collegeville, PA","$152,634 - $179,570 a year",Posted 30+ days ago,https://www.indeed.com/company/GSK/jobs/Principal-Software-Engineer-0cdd2b3306d9a766?fccid=4e42ec53f4b93e02&vjs=3,"https://www.glassdoor.com/Overview/Working-at-GSK-EI_IE3477.11,14.htm",4.1,Biotech & Pharmaceuticals,10K+ Employees
79,Lead / Senior Machine Learning Engineer,Philadelphia Phillies Baseball Operations...,"Remote in Philadelphia, PA",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=8410431f0bcf01fa&fccid=dd616958bd9ddc12&vjs=3,,-1.0,,
80,Principal Data Engineer (Platform AI/ML),GSK,"Collegeville, PA 19426",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=f1b180529c34c07b&fccid=4e42ec53f4b93e02&vjs=3,"https://www.glassdoor.com/Overview/Working-at-GSK-EI_IE3477.11,14.htm",4.1,Biotech & Pharmaceuticals,10K+ Employees
81,Principal Data Engineer (Platform AI/ML),GSK,"Philadelphia, PA 19103 
(Logan Square area)",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=e26fe4aea7ace590&fccid=4e42ec53f4b93e02&vjs=3,"https://www.glassdoor.com/Overview/Working-at-GSK-EI_IE3477.11,14.htm",4.1,Biotech & Pharmaceuticals,10K+ Employees
82,Comcast Cybersecurity: Principal Data Scientist,Comcast,"Philadelphia, PA 19103","$106,494 - $249,595 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=a031b4980f68e367&fccid=ea25315ee9da22e5&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Comcast-EI_IE1280.11,18.htm",3.8,Telecommunications Services,10K+ Employees
83,Computer Vision Software Developer,Kulicke and Soffa,"Fort Washington, PA 19034",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=34398398cb326f41&fccid=9c744b1656bd2f31&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Kulicke-and-Soffa-EI_IE1573.11,28.htm",3.7,Electronics Manufacturing,1K to 5K Employees
84,Applied Computer Vision Engineer,DreamVu,"Philadelphia, PA",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=6907bf9bf332b8a9&fccid=c9935452a8f501ac&vjs=3,"https://www.glassdoor.com/Overview/Working-at-DreamVu-EI_IE3112513.11,18.htm",3.8,Computer Hardware Development,
85,Computer Vision Research Engineer,DreamVu,"Philadelphia, PA",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=2280b366b4e3ba00&fccid=c9935452a8f501ac&vjs=3,"https://www.glassdoor.com/Overview/Working-at-DreamVu-EI_IE3112513.11,18.htm",3.8,Computer Hardware Development,
86,Data Engineer,CSols,"Newark, DE 19713",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=1bed7e85ccd8ce7c&fccid=f9271e1b11f53633&vjs=3,"https://www.glassdoor.com/Overview/Working-at-CSols-EI_IE284247.11,16.htm",3.9,Information Technology Support Services,51 to 200 Employees
