,title,company,location,salary,date,hyperlink,glassdoor_link,stars,sector,num_employees
33,"Lead Data Engineer, (Python, Java or Scala)",Capital One,"Wilmington, DE",,Posted 22 days ago,https://www.indeed.com/rc/clk?jk=92761cff1a50d863&fccid=b85c5070c3d3d8c8&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Capital-One-EI_IE3736.11,22.htm",4.1,Banking & Lending,10K+ Employees
34,Machine Learning Engineer,Cadent,"Philadelphia, PA 19102 
(City Center West area)",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=3d6cfa1a866d93d2&fccid=760d03f6c6eab030&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Cadent-EI_IE1268793.11,17.htm",3.3,Advertising & Public Relations,201 to 500 Employees
35,Cloud / Java Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=cc66ed6acbacc2de&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
36,Big Data AWS Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 28 days ago,https://www.indeed.com/rc/clk?jk=8b47f798cd0409d7&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
37,Senior Lead Software Engineer - Full Stack / React,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 28 days ago,https://www.indeed.com/rc/clk?jk=74c4e813897686b3&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
38,Large Language Model Data Scientist,Deloitte,"Philadelphia, PA",,Posted 29 days ago,https://www.indeed.com/rc/clk?jk=2471f8cc6b9f9cc9&fccid=9e215d88a6b33622&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm",4.0,Accounting & Tax,10K+ Employees
39,Lead Full Stack Software Engineer (remote),Kroll Bond Rating Agency,"Remote in Dresher, PA",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=ee8d07822e80d1e8&fccid=2523b0509cf688d6&vjs=3,"https://www.glassdoor.com/Overview/Working-at-KBRA-EI_IE752531.11,15.htm",4.2,Research & Development,201 to 500 Employees
40,Software Engineer III - AI/ML Platform Engineering,JPMorgan Chase & Co,"Wilmington, DE 19803","$128,250 - $180,000 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=339bae5a5d4b604e&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
41,"Software Engineer II, Public Cloud",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=f513f67d099b7cd9&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
42,"Experienced Associate, Software Engineer (Python/SQL)",PRICE WATERHOUSE COOPERS,"Philadelphia, PA 19103 
(Logan Square area)",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=a075defdc865022e&fccid=5e964c4afc56b180&vjs=3,"https://www.glassdoor.com/Overview/Working-at-PwC-EI_IE8450.11,14.htm",3.9,Accounting & Tax,10K+ Employees
